location,agency,location_lat,location_lon,line_num,color
Amriswil,AOT,47.5451901,9.2934099,940,ff20b04a
Amriswil,AOT,47.5451901,9.2934099,941,fff6941c
Amriswil,AOT,47.5451901,9.2934099,942,ff0070ba
Amriswil,AOT,47.5451901,9.2934099,943,ff91268f
Amriswil,AOT,47.5451901,9.2934099,944,ffffffff
Basel,BVB,47.548150,7.590337,21,ff00a191
Basel,BVB,47.548150,7.590337,11,ffe30910
Basel,BVB,47.548150,7.590337,10,ffffca0a
Basel,BVB,47.548150,7.590337,15,ff00963a
Basel,BVB,47.548150,7.590337,14,ffeb7b05
Basel,BVB,47.548150,7.590337,17,ff00a3e3
Basel,BVB,47.548150,7.590337,16,ffaecc06
Basel,BVB,47.548150,7.590337,1,ff804b2f
Basel,BVB,47.548150,7.590337,3,ff3c4796
Basel,BVB,47.548150,7.590337,2,ffa8834a
Basel,BVB,47.548150,7.590337,6,ff006ab0
Basel,BVB,47.548150,7.590337,8,ffeb6ea2
Bern,Bernmobil,46.948105,7.440209,6,ff0e88d3
Bern,Bernmobil,46.948105,7.440209,7,ffed1c24
Bern,Bernmobil,46.948105,7.440209,8,fff24dae
Bern,Bernmobil,46.948105,7.440209,9,fffbbc09
Bern,Bernmobil,46.948105,7.440209,10,ff00a650
Bern,Bernmobil,46.948105,7.440209,11,ff4dc6f4
Bern,Bernmobil,46.948105,7.440209,12,fff68712
Bern,Bernmobil,46.948105,7.440209,16,ffed1c24
Bern,Bernmobil,46.948105,7.440209,17,fffff200
Bern,Bernmobil,46.948105,7.440209,19,ff00adef
Bern,Bernmobil,46.948105,7.440209,20,ff66c430
Bern,Bernmobil,46.948105,7.440209,26,ff00a650
Bern,Bernmobil,46.948105,7.440209,29,ff8677c3
Bern,Bernmobil,46.948105,7.440209,30,ffbeb4d6
Bern,Bernmobil,46.948105,7.440209,31,ff99d420
Bern,Bernmobil,46.948105,7.440209,32,ff9d7d47
Bern,Bernmobil,46.948105,7.440209,160,ff4dbd38
Bern,Bernmobil,46.948105,7.440209,331,ffb6242a
Bern,Bernmobil,46.948105,7.440209,332,ffed1c24
Bern,Bernmobil,46.948105,7.440209,334,ff81c3ed
Biel,VB-TPB,47.133469,7.243314,1,ffd92a31
Biel,VB-TPB,47.133469,7.243314,2,ff293e80
Biel,VB-TPB,47.133469,7.243314,5,ff116630
Biel,VB-TPB,47.133469,7.243314,4,ffe4822e
Biel,VB-TPB,47.133469,7.243314,7,ffdf4891
Biel,VB-TPB,47.133469,7.243314,6,ff9fc841
Biel,VB-TPB,47.133469,7.243314,8,ff7c4391
Biel,VB-TPB,47.133469,7.243314,11,ff9f2e36
Bulle,TPF,46.617780,7.054021,201,ffe31c19
Bulle,TPF,46.617780,7.054021,203,ff0070b5
Bulle,TPF,46.617780,7.054021,202,ff27a143
Chur,SBC,46.85318,9.53282,2,fff9dd00
Chur,SBC,46.85318,9.53282,4,ff0162b0
Chur,SBC,46.85318,9.53282,6,ff07aad5
Chur,SBC,46.85318,9.53282,9,ffab7713
Chur,SBC,46.85318,9.53282,N,ff000000
Fraeunfeld,SBF,47.556955,8.891795,1,ff0066b3
Fraeunfeld,SBF,47.556955,8.891795,2,ffed1b25
Fraeunfeld,SBF,47.556955,8.891795,3,ff00a650
Fraeunfeld,SBF,47.556955,8.891795,4,ffa3238f
Fraeunfeld,SBF,47.556955,8.891795,5,ff9994c7
Fraeunfeld,SBF,47.556955,8.891795,21,ff24fffb
Fraeunfeld,SBF,47.556955,8.891795,23,ffa6cd38
Fraeunfeld,SBF,47.556955,8.891795,31,ff6e6e6f
Fraeunfeld,SBF,47.556955,8.891795,41,fff58245
Fraeunfeld,SBF,47.556955,8.891795,99,ffffffff
Fribourg,TPF,46.803268,7.151023,1,ff53B401
Fribourg,TPF,46.803268,7.151023,11,ff0fa381
Fribourg,TPF,46.803268,7.151023,3,ffFFD012
Fribourg,TPF,46.803268,7.151023,2,ffD83B38
Fribourg,TPF,46.803268,7.151023,5,ff2F7CE3
Fribourg,TPF,46.803268,7.151023,4,ffF08B32
Fribourg,TPF,46.803268,7.151023,7,ff833816
Fribourg,TPF,46.803268,7.151023,6,ff3F2072
Fribourg,TPF,46.803268,7.151023,9,ffa83989
Fribourg,TPF,46.803268,7.151023,8,ffe33988
Geneva,TPG,46.210203,6.142452,DN,ffFF9BAA
Geneva,TPG,46.210203,6.142452,TO,ffE2001D
Geneva,TPG,46.210203,6.142452,56,ff009999
Geneva,TPG,46.210203,6.142452,NA,ff5A1E82
Geneva,TPG,46.210203,6.142452,54,ff009999
Geneva,TPG,46.210203,6.142452,42,ff99CCCC
Geneva,TPG,46.210203,6.142452,NE,ffB82F89
Geneva,TPG,46.210203,6.142452,61,ffFF9BAA
Geneva,TPG,46.210203,6.142452,53,ff99CCCC
Geneva,TPG,46.210203,6.142452,X,ff003399
Geneva,TPG,46.210203,6.142452,25,ff805A28
Geneva,TPG,46.210203,6.142452,NJ,ffD2DB4A
Geneva,TPG,46.210203,6.142452,27,ff009DBC
Geneva,TPG,46.210203,6.142452,21,ff663333
Geneva,TPG,46.210203,6.142452,22,ff663399
Geneva,TPG,46.210203,6.142452,23,ffCC3399
Geneva,TPG,46.210203,6.142452,46,ff009999
Geneva,TPG,46.210203,6.142452,47,ff00B0A4
Geneva,TPG,46.210203,6.142452,44,ff009999
Geneva,TPG,46.210203,6.142452,45,ff99CCCC
Geneva,TPG,46.210203,6.142452,28,ffFFCC00
Geneva,TPG,46.210203,6.142452,43,ff99CCCC
Geneva,TPG,46.210203,6.142452,41,ff009999
Geneva,TPG,46.210203,6.142452,1,ff663399
Geneva,TPG,46.210203,6.142452,NC,ff5E3285
Geneva,TPG,46.210203,6.142452,3,ffCC3399
Geneva,TPG,46.210203,6.142452,2,ffCCCC33
Geneva,TPG,46.210203,6.142452,5,ff0099FF
Geneva,TPG,46.210203,6.142452,4,ffCC0033
Geneva,TPG,46.210203,6.142452,7,ff009933
Geneva,TPG,46.210203,6.142452,6,ff0099CC
Geneva,TPG,46.210203,6.142452,9,ffCC0033
Geneva,TPG,46.210203,6.142452,8,ff993333
Geneva,TPG,46.210203,6.142452,ND,ff84471C
Geneva,TPG,46.210203,6.142452,NT,ff00ACE7
Geneva,TPG,46.210203,6.142452,A,ffFF6600
Geneva,TPG,46.210203,6.142452,C,ffFF6600
Geneva,TPG,46.210203,6.142452,B,ffFF6600
Geneva,TPG,46.210203,6.142452,E,ffFF6600
Geneva,TPG,46.210203,6.142452,D,ffFF9999
Geneva,TPG,46.210203,6.142452,G,ffFF9999
Geneva,TPG,46.210203,6.142452,F,ffFF9999
Geneva,TPG,46.210203,6.142452,K,ffFF9999
Geneva,TPG,46.210203,6.142452,M,ffFF9BAA
Geneva,TPG,46.210203,6.142452,L,ffFF6600
Geneva,TPG,46.210203,6.142452,O,ffFF9BAA
Geneva,TPG,46.210203,6.142452,NP,ff00B0A4
Geneva,TPG,46.210203,6.142452,S,ff003399
Geneva,TPG,46.210203,6.142452,NK,ffF5A300
Geneva,TPG,46.210203,6.142452,T,ffFF9BAA
Geneva,TPG,46.210203,6.142452,W,ff003399
Geneva,TPG,46.210203,6.142452,V,ffFF6600
Geneva,TPG,46.210203,6.142452,Y,ffFF9999
Geneva,TPG,46.210203,6.142452,NO,ffB82F89
Geneva,TPG,46.210203,6.142452,Z,ffFF9999
Geneva,TPG,46.210203,6.142452,NM,ffF5A300
Geneva,TPG,46.210203,6.142452,11,ff993399
Geneva,TPG,46.210203,6.142452,10,ff006633
Geneva,TPG,46.210203,6.142452,12,ffFF9900
Geneva,TPG,46.210203,6.142452,15,ff993333
Geneva,TPG,46.210203,6.142452,14,ff663399
Geneva,TPG,46.210203,6.142452,19,ffFFCC00
Geneva,TPG,46.210203,6.142452,18,ffCC3399
Geneva,TPG,46.210203,6.142452,31,ff009999
Geneva,TPG,46.210203,6.142452,49,ff009999
Geneva,TPG,46.210203,6.142452,51,ff009999
Geneva,TPG,46.210203,6.142452,36,ff666666
Geneva,TPG,46.210203,6.142452,35,ff666666
Geneva,TPG,46.210203,6.142452,34,ff99CCCC
Geneva,TPG,46.210203,6.142452,33,ff009999
Geneva,TPG,46.210203,6.142452,NS,ff008CBE
Geneva,TPG,46.210203,6.142452,32,ff666666
Geneva,TPG,46.210203,6.142452,TT,ffFD0000
Geneva,TPG,46.210203,6.142452,57,ff99CCCC
Kreuzlingen,SBK,47.64059,9.1729746,901,ffffb401
Kreuzlingen,SBK,47.64059,9.1729746,902,fff57809
Kreuzlingen,SBK,47.64059,9.1729746,903,ff009a3f
Kreuzlingen,SBK,47.64059,9.1729746,905,ff464240
Kreuzlingen,SBK,47.64059,9.1729746,906,ff464240
Kreuzlingen,SBK,47.64059,9.1729746,907,fff652ab
Lausanne,TL,46.517593,6.629667,54,ffb86749
Lausanne,TL,46.517593,6.629667,48,ff7d9ed1
Lausanne,TL,46.517593,6.629667,22,ffc9562c
Lausanne,TL,46.517593,6.629667,60,ffcee3ac
Lausanne,TL,46.517593,6.629667,47,fffccd7c
Lausanne,TL,46.517593,6.629667,62,ffe670a1
Lausanne,TL,46.517593,6.629667,38,ffb88432
Lausanne,TL,46.517593,6.629667,64,ffb39b04
Lausanne,TL,46.517593,6.629667,49,ffbf93c2
Lausanne,TL,46.517593,6.629667,66,fff28046
Lausanne,TL,46.517593,6.629667,32,ff9c86bd
Lausanne,TL,46.517593,6.629667,25,ffacc3e3
Lausanne,TL,46.517593,6.629667,13,fffab514
Lausanne,TL,46.517593,6.629667,12,ff8c9c7b
Lausanne,TL,46.517593,6.629667,21,ff8b519e
Lausanne,TL,46.517593,6.629667,17,ffacd48a
Lausanne,TL,46.517593,6.629667,16,ffbdb004
Lausanne,TL,46.517593,6.629667,33,ff4b7320
Lausanne,TL,46.517593,6.629667,18,ff6ed1f5
Lausanne,TL,46.517593,6.629667,31,ff519cb8
Lausanne,TL,46.517593,6.629667,45,ff008d91
Lausanne,TL,46.517593,6.629667,42,ffffd903
Lausanne,TL,46.517593,6.629667,36,ff9db5bd
Lausanne,TL,46.517593,6.629667,41,ffb31e8b
Lausanne,TL,46.517593,6.629667,1,ffeb1c20
Lausanne,TL,46.517593,6.629667,46,ffb39b04
Lausanne,TL,46.517593,6.629667,2,fffcec00
Lausanne,TL,46.517593,6.629667,4,ff00a34c
Lausanne,TL,46.517593,6.629667,7,ff009c2f
Lausanne,TL,46.517593,6.629667,6,ff00aeed
Lausanne,TL,46.517593,6.629667,9,ffeb0273
Lausanne,TL,46.517593,6.629667,8,ff8d52a1
Lausanne,TL,46.517593,6.629667,65,fffab514
Lausanne,TL,46.517593,6.629667,M1,ffeb028a
Lausanne,TL,46.517593,6.629667,M2,ffeb028a
Lugano,TPL,46.005506,8.946874,1,fff033a3
Lugano,TPL,46.005506,8.946874,2,ffa0148e
Lugano,TPL,46.005506,8.946874,3,fff47216
Lugano,TPL,46.005506,8.946874,4,ff9f6a53
Lugano,TPL,46.005506,8.946874,5,ff3163b7
Lugano,TPL,46.005506,8.946874,6,ff7264b8
Lugano,TPL,46.005506,8.946874,7,ff1aae48
Lugano,TPL,46.005506,8.946874,8,ffbfe142
Lugano,TPL,46.005506,8.946874,9,ffbfe142
Lugano,TPL,46.005506,8.946874,10,ffbfe142
Lugano,TPL,46.005506,8.946874,11,ff0e88d3
Lugano,TPL,46.005506,8.946874,12,ff66c430
Lugano,TPL,46.005506,8.946874,16,ffed192e
Lugano,TPL,46.005506,8.946874,F,ff33baab
Lugano,TPL,46.005506,8.946874,S,fffbc707
Luzern,VBL,47.050170,8.310170,1,ff00a650
Luzern,VBL,47.050170,8.310170,2,fff68712
Luzern,VBL,47.050170,8.310170,4,ff9f3ca4
Luzern,VBL,47.050170,8.310170,6,ffc94823
Luzern,VBL,47.050170,8.310170,7,ffed1c24
Luzern,VBL,47.050170,8.310170,8,fffbc707
Luzern,VBL,47.050170,8.310170,9,ff00a650
Luzern,VBL,47.050170,8.310170,10,ffc94823
Luzern,VBL,47.050170,8.310170,11,fffbc707
Luzern,VBL,47.050170,8.310170,12,ff00a650
Luzern,VBL,47.050170,8.310170,13,ffec008c
Luzern,VBL,47.050170,8.310170,14,ff00a650
Luzern,VBL,47.050170,8.310170,15,ffec008c
